URL,Sentence
https://docs.google.com/document/d/1Eq5pQ6jbgKTNogHC2A6pQM9aMc_vzB2n/edit?usp=sharing&ouid=108738110400374413980&rtpof=true&sd=true,MRSA Polysome Profiling
https://docs.google.com/document/d/1RWEQsIPFfF8-al3m0N27EXu2089MGK4g/edit?usp=sharing&ouid=108738110400374413980&rtpof=true&sd=true,MRSA Preparation
https://docs.google.com/document/d/1lFf0jddyLMlDzUEe051DQjQAifQDuz4f/edit?usp=sharing&ouid=108738110400374413980&rtpof=true&sd=true,HPLC Polyamine Kidney
https://docs.google.com/document/d/1TmAsQGe2debGvRJMjyAJZkpPr-CoRbmu/edit?usp=sharing&ouid=108738110400374413980&rtpof=true&sd=true,HPLC Nucleotide Kidney
